entity,label,index
MI,B-MISC,77
SS,B-MISC,79
My,B-MISC,80
##co,B-MISC,80
##p,I-MISC,80
D,B-MISC,80
D,B-MISC,80
M,B-MISC,80
T,B-MISC,82
N,B-MISC,83
United,B-LOC,84
States,I-LOC,84
Japan,B-LOC,84
US,B-LOC,84
Japan,B-LOC,84
US,B-LOC,84
Japan,B-LOC,84
IS,B-ORG,86
##A,I-ORG,86
Galen,B-PER,86
AS,B-ORG,86
##A,I-ORG,86
D,B-MISC,87
##MA,I-MISC,87
T,B-MISC,87
RA,B-MISC,87
E,I-MISC,89
E,I-MISC,89
Tri,B-MISC,90
##chin,I-MISC,90
SD,B-ORG,90
Tri,B-MISC,90
##chin,I-MISC,90
National,B-ORG,91
Cancer,I-ORG,91
Institute,I-ORG,91
Pro,B-MISC,91
##state,I-MISC,91
Cancer,I-MISC,91
SP,I-MISC,91
##OR,I-MISC,91
##E,I-MISC,91
Program,I-MISC,91
AD,B-MISC,93
##HD,I-MISC,93
PD,B-MISC,93
##D,I-MISC,93
AD,B-MISC,93
##HD,I-MISC,93
PD,B-MISC,93
PD,B-MISC,94
PD,B-MISC,94
La,B-MISC,95
##S,I-MISC,95
##im,I-MISC,95
La,B-MISC,95
##S,I-MISC,95
##im,I-MISC,95
Pro,B-ORG,95
##M,I-ORG,95
Ha,B-ORG,95
##ptic,I-ORG,95
##a,I-ORG,95
Ltd,I-ORG,95
Ireland,B-LOC,95
La,B-MISC,95
##S,I-MISC,95
##im,I-MISC,95
ABS,B-MISC,96
Ce,I-MISC,96
##rt,I-MISC,96
##ifying,I-MISC,96
Examination,I-MISC,96
American,B-MISC,96
Board,I-MISC,96
of,I-MISC,96
Surgery,I-MISC,96
Ce,I-MISC,96
##rt,I-MISC,96
##ifying,I-MISC,96
Examination,I-MISC,96
G,B-MISC,98
G,B-MISC,98
G,B-MISC,98
VA,B-MISC,99
G,B-MISC,100
Diet,B-MISC,103
DE,B-MISC,103
DE,B-MISC,103
ER,B-MISC,103
MD,B-MISC,105
World,B-MISC,106
Youth,I-MISC,106
Day,I-MISC,106
Sydney,B-LOC,106
American,B-MISC,108
Japanese,B-MISC,108
CE,B-MISC,111
##S,I-MISC,111
D,I-MISC,111
CE,B-MISC,111
##S,I-MISC,111
D,I-MISC,111
CE,B-MISC,111
##S,I-MISC,111
D,I-MISC,111
HP,B-MISC,112
HP,B-MISC,112
IP,B-MISC,116
10,I-MISC,116
IF,B-ORG,116
##N,I-ORG,116
IP,B-MISC,116
10,I-MISC,116
IF,B-ORG,116
##N,I-ORG,116
##gam,I-ORG,116
IP,B-MISC,116
10,I-MISC,116
T,B-MISC,116
L,B-MISC,116
##T,B-MISC,116
H,B-ORG,117
PS,B-ORG,119
PS,B-ORG,119
IL,B-MISC,120
10,I-MISC,120
Indian,B-MISC,120
IL,B-MISC,120
10,I-MISC,120
SA,B-ORG,121
UK,B-LOC,122
N,B-ORG,122
##E,I-ORG,122
N,B-ORG,122
##E,I-ORG,122
R,B-MISC,125
##oux,B-MISC,125
en,I-LOC,125
Y,I-MISC,125
R,B-ORG,125
##GB,I-ORG,125
TD,B-MISC,127
S,B-MISC,129
##GA,I-ORG,129
G,B-MISC,129
S,B-MISC,129
##GA,I-ORG,129
A,B-ORG,130
MI,B-MISC,130
V,B-MISC,130
ST,B-MISC,132
ST,B-MISC,132
anti,B-MISC,136
Hu,I-MISC,136
anti,B-MISC,136
Hu,B-MISC,136
SC,B-MISC,136
anti,B-MISC,136
Hu,B-MISC,136
SC,B-MISC,136
CA,B-ORG,137
Uganda,B-LOC,140
CF,B-MISC,141
CF,B-MISC,141
MI,B-MISC,143
Brazilian,B-MISC,144
WHO,B-ORG,144
I,B-MISC,145
I,B-MISC,145
DS,B-MISC,145
G,B-MISC,147
##IS,I-MISC,147
AU,B-MISC,148
UC,B-ORG,150
PA,B-ORG,150
RC,B-ORG,150
UC,B-ORG,150
S,B-MISC,152
ABC,B-ORG,152
B,B-ORG,152
B,B-MISC,153
##ila,B-MISC,153
##ian,I-MISC,153
Non,B-MISC,153
##bil,I-MISC,153
##ater,I-MISC,153
##ian,I-MISC,153
HIV,B-MISC,154
Map,B-LOC,154
##uto,I-LOC,154
Mozambique,B-LOC,154
HIV,B-MISC,154
HIV,B-MISC,154
HIV,B-MISC,154
V,B-MISC,156
##HL,I-MISC,156
SC,B-MISC,156
SC,B-MISC,156
SC,B-MISC,156
E,B-MISC,157
B,B-MISC,160
anti,B-MISC,161
T,B-MISC,161
I,B-MISC,161
##g,I-MISC,161
R,B-MISC,161
##he,I-MISC,161
##id,I-MISC,161
Art,I-MISC,161
##hr,I-MISC,161
##itis,I-MISC,161
I,B-MISC,161
T,B-MISC,161
Italian,B-MISC,163
Italian,B-MISC,163
I,B-ORG,163
##CD,B-ORG,163
##V,I-ORG,163
I,B-ORG,163
##CD,B-ORG,163
E,B-MISC,164
E,B-MISC,164
CA,B-MISC,164
P,B-MISC,168
CT,B-MISC,169
Emergency,B-ORG,170
Department,I-ORG,170
E,B-MISC,170
US,B-LOC,171
En,B-MISC,172
##apa,I-MISC,172
Mi,B-PER,173
U,B-MISC,173
CT,B-MISC,177
P,B-MISC,178
HC,B-MISC,178
E,B-MISC,179
Parkinson,B-PER,179
E,B-MISC,179
PD,B-MISC,179
European,B-ORG,180
Society,I-ORG,180
of,I-ORG,180
U,I-ORG,180
##rol,I-MISC,180
##ogical,I-ORG,180
On,I-ORG,180
##cology,I-ORG,180
European,B-ORG,180
Society,I-ORG,180
of,I-ORG,180
U,I-ORG,180
##rol,I-MISC,180
##ogical,I-ORG,180
On,I-ORG,180
##cology,I-ORG,180
MR,B-MISC,181
MR,B-MISC,181
MR,B-MISC,181
DR,B-MISC,181
##G,I-MISC,181
I,B-ORG,183
L,B-ORG,183
II,B-ORG,184
I,B-ORG,184
##CU,I-LOC,184
PC,B-MISC,186
##ES,B-ORG,187
##ES,B-ORG,187
##ES,B-ORG,187
BP,B-MISC,192
Mayo,B-ORG,193
Clinic,I-ORG,193
Q,I-MISC,193
MC,B-MISC,193
C,B-ORG,193
##D,I-ORG,193
MC,B-MISC,193
MD,B-MISC,193
Co,B-MISC,193
##ck,I-MISC,193
##croft,I-MISC,193
G,I-PER,193
##ault,I-MISC,193
US,B-LOC,194
London,B-LOC,195
London,B-LOC,195
Asian,B-MISC,195
GB,B-MISC,196
GB,B-MISC,196
K,B-MISC,197
S,B-MISC,197
CD,B-ORG,200
##HP,I-ORG,200
U,B-MISC,202
U,B-MISC,202
Jewish,B-MISC,202
Australia,B-LOC,204
Latin,B-MISC,206
##as,I-MISC,206
Latin,B-MISC,206
Latin,B-MISC,206
I,B-MISC,207
##CA,I-MISC,207
##M,I-MISC,207
IL,B-MISC,207
-,I-MISC,207
6,I-MISC,207
IL,B-MISC,207
-,I-MISC,207
8,I-MISC,207
MD,B-MISC,211
I,B-LOC,212
##CU,I-LOC,212
AD,B-MISC,215
MR,B-MISC,215
D,B-MISC,215
##WI,I-MISC,215
AD,B-MISC,215
D,B-MISC,215
##WI,I-MISC,215
UK,B-LOC,216
E,B-ORG,216
##MS,I-ORG,216
##ido,I-MISC,220
PT,B-MISC,221
##SD,I-MISC,221
PT,B-MISC,221
Australian,B-MISC,222
Clinical,I-MISC,222
Trials,I-MISC,222
Register,I-MISC,222
E,B-MISC,223
CT,B-MISC,225
N,B-MISC,225
CS,B-MISC,225
CS,B-MISC,225
N,B-MISC,225
Teddy,B-LOC,227
Bear,I-LOC,227
Hospital,I-LOC,227
Birmingham,B-LOC,228
B,B-MISC,228
Ch,B-MISC,230
##lam,I-LOC,230
N,B-MISC,230
CT,B-MISC,230
AT,B-ORG,231
M,B-ORG,233
Cha,B-MISC,233
His,B-MISC,236
H,B-ORG,242
##V,B-ORG,242
##HF,I-ORG,242
AC,B-ORG,243
EU,B-ORG,243
ME,B-ORG,243
AC,B-ORG,243
EU,B-ORG,243
ME,B-ORG,243
AC,B-ORG,243
EU,B-ORG,243
P,B-ORG,244
P,B-ORG,244
P,B-ORG,244
P,B-ORG,244
FL,B-MISC,245
Cy,B-MISC,246
PA,B-ORG,250
##PS,I-ORG,250
SL,B-MISC,250
PA,B-MISC,250
SL,B-MISC,250
PD,B-MISC,255
##X,I-MISC,255
1,I-MISC,255
PD,B-MISC,255
##X,I-MISC,255
-,I-MISC,255
1,I-MISC,255
Gardner,B-PER,259
CT,B-MISC,259
Gardner,B-PER,259
Gardner,B-PER,259
CT,B-MISC,259
Gardner,B-PER,259
CT,B-MISC,260
CT,B-MISC,260
CT,B-MISC,260
CT,B-MISC,260
CT,B-MISC,260
CT,B-MISC,260
E,B-MISC,262
E,B-MISC,262
AM,B-MISC,264
AM,B-MISC,264
CA,B-MISC,265
D,B-MISC,267
T,B-MISC,269
ATP,B-MISC,270
I,B-MISC,271
##CU,I-MISC,271
PS,B-MISC,271
I,B-MISC,271
I,B-MISC,271
PS,B-MISC,271
England,B-LOC,272
HP,B-MISC,273
##A,I-MISC,273
1,I-MISC,273
HP,B-MISC,273
##A,I-MISC,273
Washington,B-LOC,274
State,I-LOC,274
Babe,B-MISC,274
B,B-PER,274
B,B-MISC,274
Babe,B-MISC,274
Pa,B-PER,275
A1,I-MISC,277
L,B-MISC,285
L,B-MISC,285
Vera,B-ORG,285
##pa,I-ORG,285
##mi,I-ORG,285
United,B-LOC,286
States,I-LOC,286
MS,B-MISC,287
##A,I-MISC,287
##MS,B-ORG,287
MS,B-MISC,287
##A,I-MISC,287
United,B-LOC,287
States,I-LOC,287
PC,B-MISC,288
CT,B-MISC,291
CT,B-MISC,291
CT,B-MISC,291
T,B-MISC,294
PC,B-MISC,295
HP,B-ORG,296
NC,B-ORG,296
##P,I-ORG,296
E,B-MISC,298
E,B-MISC,298
S,B-MISC,300
Finland,B-LOC,302
C,B-MISC,306
H,B-MISC,307
H,B-MISC,307
CP,B-MISC,311
CS,B-MISC,312
CS,B-MISC,312
P,B-MISC,313
MI,B-MISC,314
MC,B-ORG,315
##P,I-ORG,315
RA,B-ORG,315
MC,B-ORG,315
##P,I-ORG,315
A,B-MISC,317
MR,B-MISC,318
MR,B-MISC,318
MI,B-MISC,318
University,B-ORG,321
of,I-ORG,321
Massachusetts,I-ORG,321
Medical,I-ORG,321
Center,I-ORG,321
IT,B-MISC,324
HC,B-MISC,329
H,B-MISC,329
G,B-PER,331
##au,I-PER,331
R,B-MISC,335
R,B-MISC,335
L,B-MISC,335
S,B-ORG,337
L,B-MISC,337
A,B-ORG,339
&,I-ORG,339
E,I-ORG,339
A,B-ORG,339
&,I-ORG,339
E,I-ORG,339
M,B-ORG,342
GE,B-MISC,344
AP,B-MISC,347
I,B-MISC,349
Danish,B-MISC,351
Pa,B-MISC,351
E,B-MISC,352
EU,B-MISC,352
MP,B-ORG,353
CT,B-MISC,353
CT,B-MISC,353
CP,B-MISC,354
VA,B-ORG,354
EC,B-ORG,354
CP,B-MISC,354
Emergency,B-ORG,355
Department,I-ORG,355
CC,B-MISC,355
I,B-MISC,356
F,B-MISC,356
F,B-MISC,356
Co,B-MISC,358
##ry,I-MISC,358
Arte,I-MISC,358
##ry,I-MISC,358
By,I-MISC,358
##pass,I-MISC,358
Surgery,I-MISC,358
CA,B-MISC,358
A,B-MISC,358
Tor,I-MISC,359
##os,I-MISC,359
St,I-MISC,359
L,B-ORG,360
T,B-ORG,361
G,B-MISC,363
Silver,B-MISC,363
Russell,I-MISC,363
S,I-MISC,363
##drome,I-MISC,363
G,B-MISC,363
G,B-MISC,363
N,B-MISC,364
##T,I-MISC,364
N,B-MISC,364
Mi,B-MISC,365
##tra,I-MISC,365
##C,I-MISC,365
##lip,I-MISC,365
FM,B-MISC,365
Mi,B-MISC,365
##tra,I-MISC,365
##C,I-MISC,365
##lip,I-MISC,365
MR,B-MISC,365
Everest,B-MISC,365
II,I-MISC,365
Mi,B-MISC,365
##tra,I-MISC,365
##C,I-MISC,365
##lip,I-MISC,365
E,B-MISC,365
Mi,B-MISC,365
##tra,I-MISC,365
##C,I-MISC,365
##lip,I-MISC,365
GT,B-MISC,366
Ce,I-MISC,368
N,I-MISC,368
US,B-MISC,368
Anti,B-MISC,369
##hy,I-MISC,369
##ive,I-MISC,369
BP,B-MISC,369
BP,B-MISC,369
BP,B-ORG,369
Vita,B-MISC,371
D,I-MISC,371
D,I-MISC,371
F,B-MISC,372
F,B-MISC,372
O,B-LOC,372
##stra,I-LOC,372
##va,B-LOC,372
Czech,B-LOC,372
Republic,I-LOC,372
F,B-MISC,372
F,B-MISC,372
OH,B-ORG,373
##NS,I-ORG,373
AR,B-ORG,373
OH,B-ORG,373
##NS,I-ORG,373
Zen,B-PER,375
##ker,I-PER,375
E,B-MISC,375
##SD,I-MISC,375
E,B-MISC,375
##SD,I-MISC,375
Zen,B-PER,375
##ker,I-PER,375
E,B-MISC,375
O,B-ORG,375
PC,B-ORG,376
##NL,I-ORG,376
PC,B-ORG,376
##NL,I-ORG,376
V,I-MISC,378
I,B-MISC,378
MS,B-MISC,378
MS,B-MISC,378
Anti,B-MISC,379
##gen,I-MISC,379
S,I-MISC,379
##pecific,I-MISC,379
##so,I-MISC,379
All,I-MISC,379
I,B-MISC,379
##g,I-MISC,379
##E,I-MISC,379
Analysis,I-MISC,380
Mediterranean,B-LOC,380
Area,I-LOC,380
IS,B-ORG,380
##AC,I-ORG,380
Ara,B-MISC,380
IS,B-ORG,380
##AC,I-ORG,380
PT,B-MISC,382
U,B-LOC,383
.,I-LOC,383
S,I-LOC,383
.,I-LOC,383
T,B-MISC,384
MR,B-MISC,386
MR,B-MISC,386
I,B-ORG,386
MR,B-MISC,386
PC,B-MISC,387
##om,I-MISC,387
##A,I-MISC,387
SP,B-ORG,390
UV,B-ORG,390
##A,I-MISC,390
Suns,B-MISC,390
##cre,I-ORG,390
##en,I-MISC,390
Si,I-MISC,390
BA,B-ORG,390
##SF,I-ORG,390
Suns,I-ORG,390
##cre,I-ORG,390
##en,I-ORG,390
Si,I-MISC,390
##lator,I-MISC,390
EA,B-ORG,391
R,B-MISC,391
EA,B-ORG,391
O,B-MISC,392
K,B-MISC,392
##nee,I-MISC,392
Art,I-MISC,392
##os,I-MISC,392
AS,B-MISC,392
##A,I-MISC,392
S,B-MISC,393
##WI,I-MISC,393
FL,B-ORG,393
S,B-MISC,393
##WI,I-MISC,393
Ni,B-MISC,394
##pp,I-MISC,394
Spa,I-MISC,394
##ring,I-MISC,394
Ma,I-MISC,394
##ct,I-MISC,394
N,B-MISC,394
N,B-MISC,394
Abbott,B-MISC,396
Real,I-MISC,396
##T,I-MISC,396
##ime,I-MISC,396
C,I-MISC,396
C,I-MISC,396
##tic,I-MISC,401
Disc,I-MISC,401
P,B-MISC,402
AB,B-MISC,402
##O,I-MISC,402
Blood,I-MISC,402
Group,I-MISC,402
Modern,B-MISC,402
Era,I-MISC,402
AB,B-MISC,402
AB,B-MISC,402
AB,B-MISC,402
##O,I-MISC,402
HP,B-MISC,403
A,B-MISC,404
##able,I-MISC,404
Care,I-MISC,404
Act,I-MISC,404
A,B-ORG,406
##c,B-ORG,406
##CC,I-ORG,406
H,B-MISC,406
AD,B-MISC,409
AD,B-MISC,409
##A,I-MISC,409
AD,B-MISC,409
##A,I-MISC,409
I,I-MISC,410
Stage,B-MISC,410
1,I-MISC,410
E,B-MISC,410
SE,B-ORG,410
##EC,I-ORG,410
Stage,B-MISC,410
1,I-MISC,410
E,B-MISC,410
Me,B-MISC,411
L,B-MISC,411
L,B-MISC,411
G,B-MISC,412
MS,B-MISC,413
MS,B-MISC,413
Left,B-MISC,414
RA,B-ORG,414
L,B-MISC,414
RA,B-ORG,414
AD,B-MISC,416
##MA,I-MISC,416
M,B-MISC,416
O,I-MISC,417
##su,I-MISC,417
B,I-MISC,417
##cent,I-ORG,418
##er,I-ORG,418
American,B-ORG,418
Cancer,I-ORG,418
Society,I-ORG,418
Ce,I-MISC,419
Spin,B-MISC,420
##al,I-MISC,420
St,I-MISC,420
##eno,I-MISC,420
##sis,I-MISC,420
D,B-ORG,420
National,B-MISC,422
Le,I-MISC,422
##gis,I-MISC,422
##lation,I-MISC,422
Scottish,B-MISC,422
P,B-MISC,422
##OS,I-MISC,422
B,I-MISC,423
See,I-MISC,423
I,I-MISC,423
B,I-MISC,423
PBS,B-ORG,423
MR,B-MISC,424
V,B-MISC,424
##nal,I-MISC,424
C,I-MISC,424
##uff,I-MISC,424
B,B-MISC,424
##hy,I-MISC,424
##ther,I-MISC,424
##ap,I-MISC,424
##y,I-MISC,424
Planning,I-MISC,424
VC,B-MISC,424
VC,B-MISC,424
VC,B-MISC,424
De,B-MISC,425
Lu,I-MISC,425
##r,I-MISC,425
Spin,I-MISC,425
##e,I-MISC,425
Disease,I-MISC,425
Art,I-MISC,425
T,B-ORG,425
DD,B-MISC,425
DD,B-MISC,425
Pro,B-MISC,426
Fr,I-MISC,426
Met,B-MISC,426
##ast,I-MISC,426
##atic,I-MISC,426
Bone,I-MISC,426
Disease,I-MISC,426
Co,B-MISC,427
Neo,I-MISC,428
Per,B-LOC,428
##iac,I-MISC,428
##eta,I-MISC,428
##bula,I-MISC,428
Region,I-MISC,428
I,B-MISC,429
G,B-MISC,429
L,B-MISC,429
HC,B-ORG,430
##C,I-ORG,430
Milan,B-LOC,430
I,B-ORG,431
S,B-ORG,431
I,B-ORG,431
S,B-ORG,431
E,B-ORG,432
E,B-MISC,432
Wang,B-PER,432
Disc,B-MISC,434
##e,I-MISC,434
Choice,I-MISC,434
Experiment,I-MISC,434
DC,B-MISC,434
##Es,I-MISC,434
DC,B-MISC,434
##Es,I-MISC,434
Off,I-MISC,435
Experiment,I-MISC,435
G,B-MISC,438
##ado,B-MISC,438
##xe,I-MISC,438
##tic,I-MISC,438
A,I-MISC,438
##cid,I-MISC,438
En,I-MISC,438
##han,I-MISC,438
##ced,I-MISC,438
Color,B-MISC,438
##ec,I-MISC,438
##tal,I-MISC,438
Cancer,I-MISC,438
Non,I-ORG,441
SR,B-MISC,441
B,B-LOC,444
MR,B-MISC,444
Surgery,I-MISC,445
##oa,I-MISC,445
Art,I-MISC,445
T,B-ORG,445
FA,B-MISC,445
Pa,I-MISC,446
##llo,I-MISC,446
##ma,I-MISC,446
##virus,I-MISC,446
O,B-MISC,446
HP,B-MISC,446
HP,B-MISC,446
S,B-MISC,447
Gas,I-MISC,447
##tre,I-MISC,447
##ct,I-MISC,447
S,B-MISC,447
Insurance,I-MISC,449
##place,I-MISC,449
L,B-ORG,452
L,B-ORG,452
Social,B-MISC,453
V,I-MISC,453
##ul,I-MISC,453
##ner,I-MISC,453
##ability,I-MISC,453
Index,I-MISC,453
Georgia,B-LOC,453
SV,B-MISC,453
Thoroughbred,B-MISC,455
MR,B-MISC,455
Organization,B-ORG,459
Strategy,B-MISC,459
for,I-MISC,459
Quality,I-MISC,459
Improvement,I-MISC,459
Chinese,B-MISC,460
E,B-MISC,460
Research,I-MISC,460
Use,I-MISC,460
Ethics,I-MISC,460
Committee,I-MISC,460
Clinical,B-MISC,460
Trials,I-MISC,460
of,I-MISC,460
Anti,I-MISC,460
-,I-MISC,460
De,I-MISC,460
##ment,I-MISC,460
##ia,I-MISC,460
Drugs,I-MISC,460
R,B-ORG,460
##EC,I-ORG,460
I,B-MISC,460
Do,B-ORG,460
##H,I-MISC,460
China,B-LOC,460
Chinese,B-MISC,460
China,B-LOC,460
of,I-MISC,462
##de,I-MISC,462
##able,I-MISC,462
BP,B-MISC,462
BP,B-MISC,462
BP,B-MISC,462
DE,I-MISC,462
BP,B-MISC,462
BP,B-MISC,462
Mona,B-MISC,463
Mona,B-MISC,463
G,B-MISC,465
G,B-MISC,465
##S,I-MISC,465
Need,B-PER,467
G,B-MISC,467
##IS,B-MISC,467
G,B-MISC,467
F,B-ORG,470
F,B-MISC,470
MR,B-MISC,470
Sub,B-MISC,473
##ac,I-MISC,473
##ial,I-MISC,473
O,I-MISC,473
C,B-MISC,473
##icle,I-MISC,473
Hook,I-MISC,473
Ni,B-MISC,475
##gro,I-MISC,475
System,I-MISC,475
Parkinson,B-MISC,475
',I-MISC,475
s,I-MISC,475
Disease,I-MISC,475
PD,B-MISC,475
MR,B-MISC,475
PD,B-MISC,476
C,B-ORG,476
T,B-MISC,477
##IA,I-MISC,477
Norwegian,B-MISC,478
Vita,I-MISC,479
D,I-MISC,479
A,I-MISC,479
Italian,B-MISC,481
Italy,B-LOC,481
C,B-MISC,482
C,B-MISC,482
C,B-MISC,482
humans,B-MISC,482
C,B-MISC,482
AL,B-MISC,483
Central,B-MISC,483
European,I-MISC,483
Lac,I-MISC,484
##tation,I-MISC,484
Practice,I-MISC,484
##s,I-MISC,484
Project,B-MISC,484
H,I-MISC,484
G,B-MISC,485
##DM,I-MISC,485
La,B-MISC,487
##os,I-MISC,487
C,B-MISC,489
C,B-MISC,489
US,B-LOC,490
Son,B-MISC,490
##ov,I-MISC,490
E,B-ORG,491
ER,B-ORG,492
O,B-MISC,492
O,B-MISC,492
Western,B-LOC,493
Australia,I-LOC,493
GP,B-ORG,493
T,B-MISC,496
##omb,I-MISC,496
##oly,I-MISC,496
My,I-MISC,496
##oc,I-MISC,496
##ard,I-MISC,496
##ial,I-MISC,496
In,I-MISC,496
##far,I-MISC,496
##ction,I-MISC,496
ST,B-MISC,496
I,B-MISC,496
ST,B-MISC,496
##EM,I-MISC,496
##I,I-MISC,496
PC,B-MISC,496
ST,B-MISC,496
##EM,I-MISC,496
##I,I-MISC,496
T,I-MISC,496
##IM,I-MISC,496
##I,I-MISC,496
R,B-MISC,497
E,B-MISC,497
##p,I-MISC,497
##worth,I-MISC,497
Sleep,I-MISC,497
##iness,I-MISC,497
Scale,I-MISC,497
E,B-MISC,497
##SS,I-MISC,497
L,B-MISC,498
F,B-ORG,503
P,I-ORG,503
##ET,I-ORG,503
CT,B-MISC,503
F,B-MISC,503
P,B-MISC,503
F,B-ORG,503
Seattle,B-LOC,504
SH,B-ORG,504
##FM,I-ORG,504
SH,B-ORG,504
##FM,I-ORG,504
L,B-MISC,504
H,B-MISC,505
##A,I-MISC,505
H,B-MISC,505
##A,I-MISC,505
EU,B-ORG,510
##S,I-ORG,510
EU,B-ORG,510
##S,I-ORG,510
CP,B-MISC,511
CP,B-MISC,511
CP,B-MISC,511
HBO,B-ORG,514
V,B-MISC,515
##ril,I-MISC,515
##os,I-MISC,515
##cope,I-MISC,515
United,B-LOC,516
Kingdom,I-LOC,516
UK,B-LOC,516
UK,B-LOC,516
Cho,B-MISC,518
N,B-ORG,519
##eb,I-ORG,519
##ivo,I-ORG,519
##lo,I-ORG,519
CH,B-ORG,519
N,B-ORG,519
##eb,I-ORG,519
##ivo,I-ORG,519
##lo,I-ORG,519
N,B-MISC,519
Denmark,B-LOC,520
RA,B-MISC,520
RA,B-MISC,520
RA,B-PER,520
RA,B-MISC,520
DS,B-MISC,522
##M,I-MISC,522
-,I-MISC,522
IV,I-MISC,522
FF,B-MISC,522
DS,B-MISC,522
##M,I-MISC,522
-,I-MISC,522
IV,I-MISC,522
FF,B-MISC,522
DS,B-MISC,522
##M,I-MISC,522
-,I-MISC,522
IV,I-MISC,522
FF,B-MISC,522
C,B-MISC,525
C,B-MISC,525
E,B-ORG,526
##N,I-ORG,526
##B,I-ORG,526
##DC,I-ORG,526
L,B-ORG,526
IL,B-MISC,528
8,I-MISC,528
IL,B-MISC,528
8,I-MISC,528
ST,B-MISC,529
E,B-ORG,529
ST,B-MISC,529
CT,B-ORG,532
##C,I-ORG,532
TD,B-MISC,533
TD,B-MISC,533
N,B-MISC,535
S,B-MISC,535
MR,B-MISC,539
MR,B-MISC,539
MR,B-MISC,539
ID,B-ORG,540
##US,I-ORG,540
B,B-ORG,540
Dutch,B-MISC,541
N,B-ORG,541
N,B-ORG,542
##I,I-ORG,542
##HS,I-ORG,542
##S,I-ORG,542
N,B-ORG,542
##HS,I-ORG,542
##S,I-ORG,542
US,B-LOC,543
MR,B-MISC,544
HIV,B-MISC,545
African,B-MISC,545
American,I-MISC,545
Dex,B-MISC,547
##eto,I-MISC,547
##eto,I-MISC,547
